round,accuracy,loss
0,0.1,721.7444896697998
1,0.1272,745.8988416194916
2,0.0939,770.9948875904083
3,0.063,805.3272602558136
4,0.1444,956.9907670021057
5,0.1561,954.036304473877
6,0.2128,617.0790615081787
7,0.1332,1033.9617130756378
8,0.1539,984.0182962417603
9,0.1353,896.3957631587982
10,0.1265,1174.6957573890686
11,0.2612,625.6232732534409
12,0.1516,1001.228716135025
13,0.3013,586.2011834383011
14,0.2046,957.0764338970184
15,0.1433,1013.7778263092041
16,0.1538,1047.7615349292755
17,0.1593,1035.1120710372925
18,0.1531,1134.403148651123
19,0.1377,941.8268070220947
20,0.0991,982.8217933177948
