round,accuracy,loss
0,0.1001,721.3347053527832
1,0.3822,651.267023563385
2,0.3964,526.7981077432632
3,0.5162,419.84431713819504
4,0.5434,399.1231386065483
5,0.4626,480.4897840023041
6,0.5713,378.7221949696541
7,0.5886,364.035124540329
8,0.5059,441.56179225444794
9,0.5989,354.9050176143646
10,0.4884,455.7725672721863
11,0.6098,347.3453965783119
12,0.4759,455.8603261709213
13,0.5044,434.5904783606529
14,0.4746,454.2565619945526
15,0.4929,445.82488119602203
16,0.6151,350.87288999557495
17,0.498,442.2304568886757
18,0.4744,453.35701417922974
19,0.6102,370.44760221242905
20,0.6125,364.52147901058197
