round,accuracy,loss
0,0.1,721.3681526184082
1,0.1243,719.9537806510925
2,0.166,703.2643251419067
3,0.1897,664.3578377962112
4,0.3311,578.2848529815674
5,0.3842,532.6367226839066
6,0.2617,628.2460024356842
7,0.2537,637.1980137825012
8,0.0613,984.695018529892
9,0.0446,1067.511887550354
10,0.2371,649.4880495071411
11,0.2463,650.8953399658203
12,0.247,643.3246352672577
13,0.2477,638.1135176420212
14,0.0508,1132.1427302360535
15,0.2631,641.4991900920868
16,0.2589,632.5672786235809
17,0.2676,625.0538130998611
18,0.5315,404.2756199836731
19,0.5418,396.2064247727394
20,0.2809,602.1687506437302
