round,accuracy,loss
0,0.0779,720.9621098041534
1,0.151,902.8974211215973
2,0.3279,919.6291853189468
3,0.3633,665.7774226665497
4,0.3864,703.8444137573242
5,0.403,574.9712761640549
6,0.3869,674.5100610256195
7,0.4062,615.7736752033234
8,0.3489,791.6430792808533
9,0.4157,591.7526652812958
10,0.3695,848.6885890960693
11,0.425,625.811490893364
12,0.4353,611.7152149677277
13,0.4259,671.7291121482849
14,0.3429,783.5749942064285
15,0.413,803.8630352020264
16,0.4615,566.6853685379028
17,0.3835,878.7941602468491
18,0.3691,825.4206202030182
19,0.3869,937.6263302564621
20,0.4181,725.759844660759
