round,accuracy,loss
0,0.0985,721.3402388095856
1,0.2904,645.2419973611832
2,0.3777,575.0216042995453
3,0.4322,509.37591433525085
4,0.4609,479.5300269126892
5,0.4743,464.43747210502625
6,0.4866,458.59476351737976
7,0.4872,454.85488867759705
8,0.4761,469.07324212789536
9,0.5065,442.8666939139366
10,0.5027,450.6054499745369
11,0.5026,446.94434183835983
12,0.5208,434.5046546459198
13,0.5046,441.3464438319206
14,0.5188,435.0369136929512
15,0.5108,442.31248331069946
16,0.5147,440.7364019751549
17,0.5088,458.3041746020317
18,0.51,459.7134009003639
19,0.5103,455.4784659743309
20,0.5068,471.11693555116653
