round,accuracy,loss
0,0.1,721.3889458179474
1,0.1775,698.4664349555969
2,0.1179,924.7206780910492
3,0.2738,615.1398943662643
4,0.1346,859.0814936161041
5,0.2948,565.2360553741455
6,0.1831,969.6267926692963
7,0.1293,753.0868426561356
8,0.1456,1017.1861002445221
9,0.1297,875.10737657547
10,0.1431,1104.6039638519287
11,0.0876,881.4627780914307
12,0.1648,667.272010922432
13,0.1665,1057.3797330856323
14,0.1753,1029.2466826438904
15,0.2674,623.3953540325165
16,0.2346,999.7724664211273
17,0.1401,821.9126107692719
18,0.1348,1022.0964233875275
19,0.1589,1067.29856467247
20,0.1525,1096.3942053318024
