round,accuracy,loss
0,0.1,721.380392074585
1,0.1001,718.9839427471161
2,0.2166,682.7848498821259
3,0.2107,664.4443677663803
4,0.2035,654.3448803424835
5,0.3404,564.2962510585785
6,0.2524,629.5341156721115
7,0.3953,513.987468123436
8,0.0867,855.7616875171661
9,0.0658,942.0621297359467
10,0.4133,494.1273738145828
11,0.061,924.7723588943481
12,0.2566,609.5344516038895
13,0.4491,473.2291315793991
14,0.4711,458.3956092596054
15,0.2714,616.8862255811691
16,0.0555,1038.5252845287323
17,0.262,608.7931855916977
18,0.5,436.18490183353424
19,0.5132,422.1786268353462
20,0.0494,1080.4446814060211
