round,accuracy,loss
0,0.0916,721.3578782081604
1,0.1331,715.3124530315399
2,0.1324,674.279618024826
3,0.2995,596.3764324188232
4,0.2603,624.6812182664871
5,0.2611,621.9030514955521
6,0.0692,912.847145318985
7,0.4083,501.75035762786865
8,0.4435,479.4643144607544
9,0.2755,615.1005754470825
10,0.264,610.4251251220703
11,0.4773,451.28681099414825
12,0.4873,443.95880353450775
13,0.5002,433.8194760084152
14,0.2768,618.6728304624557
15,0.2495,603.8630809783936
16,0.5247,413.7779768705368
17,0.2384,639.8808991909027
18,0.25,607.3427685499191
19,0.2393,617.2833443880081
20,0.0608,1165.93936753273
