round,accuracy,loss
0,0.0825,721.5526621341705
1,0.1378,894.0844159126282
2,0.2404,1049.2307062149048
3,0.3585,649.1394168138504
4,0.3647,660.6562517881393
5,0.3847,636.909215092659
6,0.3443,832.7394171953201
7,0.3898,576.8419314622879
8,0.3914,637.509792804718
9,0.4231,567.3367621898651
10,0.4144,566.2917380332947
11,0.43,596.4126142263412
12,0.3512,812.0537648200989
13,0.3507,785.0394414663315
14,0.3683,921.7538928985596
15,0.4075,610.8037207126617
16,0.3665,896.3267168998718
17,0.3755,875.7640188932419
18,0.4107,692.5131825208664
19,0.3763,836.3691825866699
20,0.3586,911.4717820882797
