round,accuracy,loss
0,0.1,721.2461218833923
1,0.4174,506.07935869693756
2,0.4921,439.8738357424736
3,0.5371,404.6878179907799
4,0.558,386.4677622914314
5,0.5876,366.1957098245621
6,0.5975,358.08507227897644
7,0.5913,366.2520914077759
8,0.6085,345.52286064624786
9,0.6312,335.1253336071968
10,0.6231,342.5536032319069
11,0.6272,339.62154906988144
12,0.6311,336.12384909391403
13,0.626,343.6464030146599
14,0.6267,343.2623727321625
15,0.6324,344.94565266370773
16,0.6315,346.9058820605278
17,0.6348,344.68807446956635
18,0.6257,356.20092356204987
19,0.6285,354.74150002002716
20,0.6224,366.5224799513817
