round,accuracy,loss
0,0.108,721.2842750549316
1,0.3286,661.506965637207
2,0.3696,543.7949438095093
3,0.3801,532.0239999294281
4,0.4087,503.6186320781708
5,0.4371,493.57831859588623
6,0.5717,377.39764392375946
7,0.4404,482.82621109485626
8,0.6025,356.3977029323578
9,0.6086,351.1899463534355
10,0.6112,347.42653185129166
11,0.4752,465.9249743819237
12,0.4316,499.6362738609314
13,0.4481,475.0564708709717
14,0.5039,439.71309703588486
15,0.6162,355.082294523716
16,0.6219,349.48869901895523
17,0.6079,359.244575291872
18,0.6174,358.9997272491455
19,0.615,355.1661547422409
20,0.604,371.6189321577549
