round,accuracy,loss
0,0.1064,721.140645980835
1,0.1474,712.2412214279175
2,0.1847,681.8646410703659
3,0.2841,609.1852905750275
4,0.0785,800.3479468822479
5,0.2359,622.6814444065094
6,0.4032,508.28690004348755
7,0.2577,610.7839633226395
8,0.2513,615.0375363826752
9,0.263,596.5446285009384
10,0.0611,1040.1388211250305
11,0.0533,1076.989961862564
12,0.4799,447.42962288856506
13,0.2796,578.6491899490356
14,0.0493,1119.595293521881
15,0.2521,598.5679188966751
16,0.2658,585.6410446166992
17,0.0519,1176.0090074539185
18,0.2712,579.0553815364838
19,0.5451,397.40638667345047
20,0.0486,1195.221114873886
