round,accuracy,loss
0,0.1,721.0870225429535
1,0.1155,721.387660741806
2,0.2816,622.8604216575623
3,0.1326,997.834639787674
4,0.1438,1033.6260282993317
5,0.1584,988.6319625377655
6,0.1571,832.7177934646606
7,0.1329,1107.967559337616
8,0.1451,1099.8793413639069
9,0.1584,895.9192130565643
10,0.1147,961.1050863265991
11,0.098,996.240466594696
12,0.1805,679.6399084329605
13,0.2573,617.9701727628708
14,0.1416,1107.714396238327
15,0.1709,895.0380456447601
16,0.1978,1107.1872017383575
17,0.1966,1045.4181051254272
18,0.117,1159.902367591858
19,0.2756,599.5728707313538
20,0.1249,1154.7178192138672
