round,accuracy,loss
0,0.0907,721.1091787815094
1,0.3583,634.5734438896179
2,0.3923,537.6391677856445
3,0.5101,428.27124428749084
4,0.4323,498.95697009563446
5,0.5596,385.53383976221085
6,0.5764,374.88030284643173
7,0.4143,502.6874716281891
8,0.5882,365.4640856385231
9,0.5832,364.8494350910187
10,0.61,350.3631128668785
11,0.4624,466.60824024677277
12,0.6139,346.00178414583206
13,0.6093,350.74186366796494
14,0.4344,499.1519079208374
15,0.6125,351.0949102640152
16,0.6113,352.86788749694824
17,0.6093,359.8722193837166
18,0.6091,354.95273745059967
19,0.6123,361.2700871825218
20,0.6095,362.5109503865242
