round,accuracy,loss
0,0.101,721.4702651500702
1,0.4116,498.99796664714813
2,0.4854,449.51562345027924
3,0.542,398.9923794269562
4,0.5746,380.01281160116196
5,0.5966,359.5447329878807
6,0.6026,354.44860941171646
7,0.6134,349.3490186929703
8,0.6136,344.24872344732285
9,0.6273,335.682726085186
10,0.6257,338.19464695453644
11,0.6358,331.7785065472126
12,0.6386,334.3016549050808
13,0.634,334.7690277695656
14,0.6315,344.0893688797951
15,0.6345,346.09439504146576
16,0.6298,345.4350535273552
17,0.6285,350.8646162748337
18,0.6302,362.47942385077477
19,0.6258,359.3888606727123
20,0.6315,354.0324261188507
