round,accuracy,loss
0,0.1015,721.4340000152588
1,0.3217,621.622851729393
2,0.3932,540.610186457634
3,0.4649,490.68101274967194
4,0.4731,471.9972895383835
5,0.4954,448.9210081100464
6,0.4996,449.5717026591301
7,0.5039,437.7538584470749
8,0.5083,436.8199210166931
9,0.522,425.2943996191025
10,0.5255,427.0837053656578
11,0.5391,420.8223423361778
12,0.5151,445.43608462810516
13,0.5348,426.56096494197845
14,0.5176,453.2665693759918
15,0.5261,445.0578956604004
16,0.5238,448.2633134126663
17,0.5268,447.9429118037224
18,0.5081,473.13993191719055
19,0.51,482.80986273288727
20,0.4926,502.99966835975647
