round,accuracy,loss
0,0.1168,721.0293025970459
1,0.349,637.4859074354172
2,0.3708,551.0546962022781
3,0.3947,527.3209592103958
4,0.5422,402.0159392952919
5,0.4363,491.5189731121063
6,0.5779,372.3400837779045
7,0.4457,485.34222662448883
8,0.436,478.11447036266327
9,0.439,475.5291395187378
10,0.4617,463.7868726849556
11,0.6162,340.93913221359253
12,0.6282,334.03505504131317
13,0.5104,437.4193505048752
14,0.6288,339.8493503332138
15,0.6254,336.86593598127365
16,0.4765,450.8558918237686
17,0.6254,342.18813025951385
18,0.4909,450.6104664206505
19,0.4873,451.50629836320877
20,0.5242,429.11095291376114
