round,accuracy,loss
0,0.1004,721.1390688419342
1,0.3164,657.2242170572281
2,0.4592,462.65308153629303
3,0.3921,529.921579003334
4,0.5334,413.13991260528564
5,0.4629,481.0316915512085
6,0.489,455.3899768590927
7,0.5756,371.16625410318375
8,0.5876,368.4518572092056
9,0.4683,467.97255885601044
10,0.5994,357.24944627285004
11,0.6051,354.09464889764786
12,0.4942,449.3617807030678
13,0.6077,352.68458849191666
14,0.6103,355.52732384204865
15,0.6155,351.3550551533699
16,0.4757,461.4800146818161
17,0.6121,354.59757149219513
18,0.6109,356.2927317619324
19,0.4369,491.5031496286392
20,0.5956,368.15881365537643
