round,accuracy,loss
0,0.1,721.3170874118805
1,0.2593,656.3407217264175
2,0.3522,583.6069333553314
3,0.4431,508.99068915843964
4,0.4536,482.6386901140213
5,0.5021,443.76726227998734
6,0.4875,461.3056561946869
7,0.5094,439.57644045352936
8,0.531,424.30879563093185
9,0.5298,420.35994493961334
10,0.531,422.1849781870842
11,0.5307,423.38352608680725
12,0.5205,432.5689051747322
13,0.5209,443.30678033828735
14,0.5251,438.73632341623306
15,0.5208,451.6634071469307
16,0.518,457.3423008322716
17,0.5149,461.5247049331665
18,0.5027,490.1256648302078
19,0.4872,513.8793906569481
20,0.507,491.8510899543762
