round,accuracy,loss
0,0.1062,721.6860580444336
1,0.1395,925.3491878509521
2,0.3246,897.3190234899521
3,0.3402,964.1892408132553
4,0.3315,946.8054968118668
5,0.3548,676.1684962511063
6,0.377,723.3902617692947
7,0.3967,648.8641585111618
8,0.3904,685.2090057134628
9,0.3571,894.1751579046249
10,0.358,930.2036974430084
11,0.4102,599.1981557607651
12,0.4081,709.8190267086029
13,0.4183,626.5546002388
14,0.3767,905.3091813325882
15,0.3754,901.4915300607681
16,0.3798,947.1134370565414
17,0.4077,649.9268149137497
18,0.3847,984.0977563858032
19,0.3714,897.2515016794205
20,0.3811,1077.8321920633316
