round,accuracy,loss
0,0.1,720.9632158279419
1,0.3019,642.8171056509018
2,0.3889,545.3093845844269
3,0.4366,494.8356376886368
4,0.465,464.9733474254608
5,0.475,461.20975971221924
6,0.5108,437.3185587525368
7,0.5105,436.11806458234787
8,0.5128,433.303741812706
9,0.5262,420.33052641153336
10,0.5153,434.01553827524185
11,0.5214,431.56221729516983
12,0.5293,432.8996551036835
13,0.5272,428.8435153365135
14,0.5298,427.3023617863655
15,0.5292,431.3210590481758
16,0.5359,442.0927560329437
17,0.5097,462.18222826719284
18,0.5166,459.1110883951187
19,0.5133,475.88802230358124
20,0.5196,466.3385992050171
