round,accuracy,loss
0,0.0967,721.003006696701
1,0.19,796.3105469942093
2,0.3378,682.5344889163971
3,0.3664,687.6615965366364
4,0.3326,801.0847840309143
5,0.3802,655.1228363513947
6,0.3525,851.8591213226318
7,0.4027,571.8532693386078
8,0.3971,627.0086368322372
9,0.32,791.7736939191818
10,0.3486,876.4142473936081
11,0.4137,551.97474193573
12,0.33,917.138362288475
13,0.4106,602.5840785503387
14,0.3611,804.133342385292
15,0.4239,595.3737282752991
16,0.3679,838.2812830209732
17,0.3836,864.8111412525177
18,0.3722,946.1398475170135
19,0.3655,1011.0726028680801
20,0.404,660.922994852066
