round,accuracy,loss
0,0.1,721.4878053665161
1,0.2943,608.7308950424194
2,0.3967,510.44134426116943
3,0.4344,481.1088775396347
4,0.4673,462.2171894311905
5,0.4897,443.1988590955734
6,0.4982,432.17130798101425
7,0.5188,419.32907074689865
8,0.5204,420.4684453010559
9,0.5435,397.49715381860733
10,0.5597,383.4884919524193
11,0.5713,377.8197914361954
12,0.5788,375.15877562761307
13,0.5783,372.0678720474243
14,0.5795,369.5342860817909
15,0.5802,375.69535034894943
16,0.5982,356.7083077430725
17,0.6021,351.6292659044266
18,0.6034,353.00481075048447
19,0.6106,348.34159886837006
20,0.6093,349.8923798799515
