round,accuracy,loss
0,0.0894,721.8276364803314
1,0.1879,717.6044068336487
2,0.1171,720.2984654903412
3,0.2769,614.7086732387543
4,0.0885,762.9961426258087
5,0.33,559.454307436943
6,0.2482,615.061706662178
7,0.228,618.950079202652
8,0.0696,941.7250406742096
9,0.2236,637.2396484613419
10,0.2347,633.1163197755814
11,0.2401,625.7069524526596
12,0.0605,1053.0264115333557
13,0.05,1123.4708440303802
14,0.2531,622.7470456361771
15,0.4944,433.2345145344734
16,0.0485,1163.6368308067322
17,0.2278,673.3020938634872
18,0.2519,639.1058876514435
19,0.2707,618.2983227968216
20,0.0457,1214.4778401851654
