round,accuracy,loss
0,0.0984,721.4846150875092
1,0.1001,919.0605311393738
2,0.113,973.3746030330658
3,0.1157,1075.7969598770142
4,0.1365,856.780809879303
5,0.0693,893.1626853942871
6,0.1935,655.4277497529984
7,0.1243,994.7204766273499
8,0.2355,608.9292216300964
9,0.1924,757.4489028453827
10,0.1455,1025.9017374515533
11,0.2609,597.1957873106003
12,0.1834,951.9734914302826
13,0.1964,948.7629415988922
14,0.155,881.1504774093628
15,0.1443,833.5008372068405
16,0.158,989.5155606269836
17,0.1753,1002.0367124080658
18,0.2803,584.9234328269958
19,0.1881,769.8752346038818
20,0.1114,861.1355018615723
