round,accuracy,loss
0,0.1024,721.0680804252625
1,0.113,718.5221495628357
2,0.0891,744.167920589447
3,0.2737,631.9368872642517
4,0.1967,649.6357198953629
5,0.2057,640.2954216003418
6,0.3682,536.3329074382782
7,0.2404,626.5943616628647
8,0.224,630.6715923547745
9,0.4363,485.1461924314499
10,0.0728,945.1272485256195
11,0.2329,614.6481648683548
12,0.0551,1030.3491752147675
13,0.0501,1076.9471690654755
14,0.2629,597.4611357450485
15,0.0538,1116.2398056983948
16,0.2654,596.0709418058395
17,0.5007,429.6410774588585
18,0.5209,415.4647147655487
19,0.3145,572.7897304296494
20,0.042,1181.750144481659
