round,accuracy,loss
0,0.096,721.4651901721954
1,0.0869,721.8059997558594
2,0.14,680.9123272895813
3,0.199,643.1440063714981
4,0.2258,629.9604264497757
5,0.0545,945.3197078704834
6,0.2306,638.8485964536667
7,0.2511,625.6631399393082
8,0.4534,465.99680268764496
9,0.0527,1053.3800480365753
10,0.245,646.8020681142807
11,0.2378,649.6492017507553
12,0.0505,1128.3382775783539
13,0.4984,435.88302713632584
14,0.5225,420.15373200178146
15,0.0492,1133.531086921692
16,0.536,408.12899792194366
17,0.2781,632.0369782447815
18,0.0505,1156.8864862918854
19,0.2483,661.5518201589584
20,0.5493,393.8773592710495
