round,accuracy,loss
0,0.0996,721.3554563522339
1,0.2496,689.650621175766
2,0.2989,612.7939981222153
3,0.364,555.4210779666901
4,0.3614,552.4765077829361
5,0.4682,454.6425304412842
6,0.4947,438.21126532554626
7,0.5131,451.55968058109283
8,0.527,412.2028458118439
9,0.5487,399.3922943472862
10,0.5405,415.27021700143814
11,0.5615,386.72474855184555
12,0.5784,375.42810344696045
13,0.584,367.85040801763535
14,0.5786,382.4944654107094
15,0.5935,359.7007699608803
16,0.5918,361.0077294707298
17,0.5957,358.16478765010834
18,0.591,367.9158346056938
19,0.5965,365.45655673742294
20,0.6006,359.6857187151909
