round,accuracy,loss
0,0.0911,721.6549456119537
1,0.1763,712.8851890563965
2,0.2738,626.5688996315002
3,0.0798,771.0438604354858
4,0.0658,835.1937794685364
5,0.2166,636.6828439235687
6,0.0637,948.424943447113
7,0.4038,504.20994079113007
8,0.2641,624.9170708656311
9,0.0599,1025.8606173992157
10,0.0556,1069.1852927207947
11,0.2505,630.9445049762726
12,0.2672,611.069976568222
13,0.0541,1126.6419966220856
14,0.4974,431.94990289211273
15,0.06,1140.991777896881
16,0.244,632.846696138382
17,0.242,648.1894323825836
18,0.2418,640.6116526126862
19,0.0509,1221.9651288986206
20,0.259,619.7977260351181
