round,accuracy,loss
0,0.0999,721.037308216095
1,0.1156,721.4865202903748
2,0.1026,995.4124143123627
3,0.1202,954.2646446228027
4,0.248,613.432205915451
5,0.2875,563.7879920005798
6,0.217,688.4936466217041
7,0.2053,626.2070779800415
8,0.3155,568.2584708929062
9,0.163,1003.3233256340027
10,0.1649,926.5314829349518
11,0.1525,988.865332365036
12,0.1622,831.6409306526184
13,0.1124,893.4037656784058
14,0.1502,1028.7577369213104
15,0.1149,1036.7045140266418
16,0.094,970.8482797145844
17,0.2363,646.3973813056946
18,0.2997,593.3249056339264
19,0.1657,925.6999475955963
20,0.1454,833.5318657159805
