round,accuracy,loss
0,0.1,721.4648401737213
1,0.0952,720.4142549037933
2,0.1711,706.6796536445618
3,0.3084,606.8496700525284
4,0.3704,538.8033736944199
5,0.0771,829.3067350387573
6,0.1937,664.1921685934067
7,0.0572,992.8808879852295
8,0.2119,644.0926276445389
9,0.4502,472.1671019792557
10,0.4665,464.791751742363
11,0.4923,442.46731436252594
12,0.2544,618.8448832035065
13,0.2428,619.1447883844376
14,0.5202,415.56990772485733
15,0.0542,1125.5547215938568
16,0.2478,634.7927827835083
17,0.5326,404.53645372390747
18,0.2337,629.5021163225174
19,0.0469,1182.1401679515839
20,0.5559,387.0489718914032
