round,accuracy,loss
0,0.0993,721.7734632492065
1,0.0839,762.0776665210724
2,0.1041,1130.6869914531708
3,0.1065,1036.1202158927917
4,0.1623,932.4735066890717
5,0.1212,995.0895488262177
6,0.1711,854.0865330696106
7,0.3221,564.0962283611298
8,0.3237,537.9365681409836
9,0.2013,734.2472442388535
10,0.1375,798.0127590894699
11,0.0964,879.8670792579651
12,0.0742,954.5159282684326
13,0.1621,993.1021540164948
14,0.3024,586.8122479915619
15,0.1988,956.9293699264526
16,0.103,857.0949747562408
17,0.2028,909.7507467269897
18,0.0752,927.506364107132
19,0.2022,963.3559079170227
20,0.1242,1060.7208397388458
