round,accuracy,loss
0,0.1,721.2114057540894
1,0.1001,939.706666469574
2,0.1898,679.1254320144653
3,0.1081,1117.1993024349213
4,0.2781,613.5170651674271
5,0.2139,723.709796667099
6,0.1288,830.6860952377319
7,0.0919,885.5818600654602
8,0.1575,1065.1998991966248
9,0.0809,866.0821259021759
10,0.1615,1106.4222736358643
11,0.1229,1084.7618534564972
12,0.2109,954.7094142436981
13,0.1357,965.4150557518005
14,0.1633,976.2671985626221
15,0.1927,978.5903921127319
16,0.2046,935.1423423290253
17,0.1494,1000.5640952587128
18,0.2157,953.9297125339508
19,0.2236,967.9291081428528
20,0.1187,935.0047690868378
