round,accuracy,loss
0,0.099,721.3104434013367
1,0.2816,626.7431138753891
2,0.4002,538.7043762207031
3,0.4274,490.87763118743896
4,0.4658,467.5676656961441
5,0.4866,452.28230994939804
6,0.4766,445.4100947380066
7,0.4871,454.1244215965271
8,0.492,451.6520745754242
9,0.5178,434.2315761446953
10,0.499,446.5888147354126
11,0.5273,428.4671869277954
12,0.5248,422.59079986810684
13,0.505,446.28161108493805
14,0.5246,432.41109520196915
15,0.5203,447.43920773267746
16,0.5166,442.0807908177376
17,0.5237,435.5337909460068
18,0.5164,447.41369158029556
19,0.5193,453.5315442085266
20,0.5203,456.0366870164871
