round,accuracy,loss
0,0.1056,721.5960628986359
1,0.1119,717.438291311264
2,0.0907,740.5046572685242
3,0.183,642.2610048055649
4,0.068,899.487508058548
5,0.3719,531.175163269043
6,0.2801,600.951324224472
7,0.4404,481.91493570804596
8,0.2826,622.589949131012
9,0.2473,602.7648080587387
10,0.2614,607.7362279891968
11,0.4811,448.41192775964737
12,0.4983,433.65157574415207
13,0.5128,421.21577179431915
14,0.2793,603.6435422897339
15,0.27,621.725737452507
16,0.266,599.9386414289474
17,0.0529,1118.2119081020355
18,0.267,589.335865855217
19,0.2622,587.3094787597656
20,0.0474,1223.8465671539307
