round,accuracy,loss
0,0.0858,721.4685955047607
1,0.2709,644.5346599817276
2,0.3852,562.8977180719376
3,0.4341,498.98427271842957
4,0.4754,473.688308596611
5,0.5049,448.38171207904816
6,0.4929,453.00368642807007
7,0.5031,446.17614859342575
8,0.5037,448.87000769376755
9,0.5139,435.0581540465355
10,0.5363,422.50731974840164
11,0.5228,433.4185695052147
12,0.5221,437.6514542102814
13,0.5288,434.3486386537552
14,0.5199,445.46848982572556
15,0.5311,435.9690600037575
16,0.514,458.5979288816452
17,0.5226,461.197272002697
18,0.5045,472.8084306716919
19,0.5136,477.36844712495804
20,0.5266,465.71648520231247
