round,accuracy,loss
0,0.1002,721.4306268692017
1,0.1519,715.6677482128143
2,0.1061,1005.6832361221313
3,0.25,664.31052339077
4,0.129,850.3304960727692
5,0.1388,938.8173820972443
6,0.1921,765.57878947258
7,0.1443,794.8047794103622
8,0.1518,849.9835937023163
9,0.1161,890.1409316062927
10,0.2101,673.8335220813751
11,0.1613,762.1690454483032
12,0.1417,1025.6133329868317
13,0.1638,843.6302664279938
14,0.1399,1076.9965937137604
15,0.1607,1095.2367100715637
16,0.1318,792.4366145133972
17,0.2305,634.7502263784409
18,0.1838,738.6211706399918
19,0.1706,1073.5079493522644
20,0.1268,805.3684496879578
