round,accuracy,loss
0,0.1079,720.9695951938629
1,0.4291,497.57456171512604
2,0.5045,431.5660611987114
3,0.5262,416.57195019721985
4,0.5546,395.01386654376984
5,0.5809,372.91918045282364
6,0.6031,356.3289564847946
7,0.6176,343.50070863962173
8,0.6266,335.7580181360245
9,0.6072,350.89680790901184
10,0.6241,341.22553169727325
11,0.6283,332.41254884004593
12,0.6215,343.59158700704575
13,0.6171,344.5806293487549
14,0.6333,341.69477212429047
15,0.6273,345.62535232305527
16,0.628,354.59062802791595
17,0.6298,352.0688838362694
18,0.6368,351.19953244924545
19,0.6262,360.1185230612755
20,0.6162,369.33843153715134
