round,accuracy,loss
0,0.1,721.1834895610809
1,0.2964,651.8842992782593
2,0.3965,540.2311033010483
3,0.3969,525.9200941324234
4,0.5288,411.33088141679764
5,0.544,400.47953379154205
6,0.5693,381.0343027114868
7,0.5822,372.26203966140747
8,0.4396,481.39026975631714
9,0.4751,454.203071475029
10,0.4899,438.38384634256363
11,0.6091,348.61823707818985
12,0.4572,462.07276916503906
13,0.6,351.7699800133705
14,0.4939,436.56546092033386
15,0.485,444.77388870716095
16,0.6074,347.63976883888245
17,0.6109,353.8819597363472
18,0.4806,443.3255058526993
19,0.6099,357.0135688185692
20,0.6124,356.6634593307972
