round,accuracy,loss
0,0.1045,720.8198711872101
1,0.1228,713.6159210205078
2,0.0874,758.9964714050293
3,0.0805,803.1034014225006
4,0.3118,594.3489264249802
5,0.0808,819.307103395462
6,0.367,542.4881384372711
7,0.4095,508.15583741664886
8,0.2834,599.9652900695801
9,0.2818,595.1157426834106
10,0.2678,604.2755876779556
11,0.2646,603.2392629384995
12,0.2662,592.7583676576614
13,0.2494,611.1217052936554
14,0.5094,426.7518694996834
15,0.0492,1104.1629424095154
16,0.2336,632.2033993005753
17,0.2434,634.3561819791794
18,0.2431,616.651142001152
19,0.0441,1197.0862083435059
20,0.5451,397.2243887782097
