round,accuracy,loss
0,0.0882,721.4547138214111
1,0.3478,655.1062321662903
2,0.4468,514.5595662593842
3,0.5007,440.175647854805
4,0.5312,412.9864133000374
5,0.5476,391.2474652528763
6,0.5658,377.48872405290604
7,0.5829,368.14555555582047
8,0.5996,360.1862236857414
9,0.6031,357.93465811014175
10,0.6078,350.35799342393875
11,0.6131,347.4877445101738
12,0.6161,346.2593275308609
13,0.6057,353.4609491825104
14,0.608,356.8366022706032
15,0.6195,351.8279107809067
16,0.6105,358.77324402332306
17,0.6123,360.7732041478157
18,0.6116,364.2768830060959
19,0.6109,365.0610146522522
20,0.6075,373.8407199382782
