round,accuracy,loss
0,0.0998,721.1516513824463
1,0.3118,619.6135383844376
2,0.417,527.78979408741
3,0.453,489.1158069372177
4,0.4718,458.93454360961914
5,0.4882,441.33052557706833
6,0.5007,441.23011165857315
7,0.5069,436.25079876184464
8,0.5123,433.7647362947464
9,0.5276,417.5304106473923
10,0.5274,426.6666015982628
11,0.5465,411.9402820467949
12,0.5374,414.96515959501266
13,0.5292,422.99979174137115
14,0.5341,428.68884640932083
15,0.5344,428.81523275375366
16,0.5212,441.0029946565628
17,0.5255,445.6637097597122
18,0.5304,447.98311442136765
19,0.5245,454.8512325286865
20,0.5115,474.48788195848465
