round,accuracy,loss
0,0.1,721.2226052284241
1,0.1,721.068238735199
2,0.1,720.9155824184418
3,0.1001,720.7611601352692
4,0.1001,720.5746405124664
5,0.1003,720.3656806945801
6,0.1033,720.098370552063
7,0.1138,719.8065237998962
8,0.1384,719.4501736164093
9,0.1598,718.9581396579742
10,0.1652,718.3137700557709
11,0.1584,717.3469734191895
12,0.1512,715.8880395889282
13,0.1378,713.7450296878815
14,0.1375,710.7492027282715
15,0.1282,705.7505788803101
16,0.1364,698.9802889823914
17,0.1553,691.515743970871
18,0.1666,685.517614364624
19,0.1804,679.6390581130981
20,0.1913,676.5177462100983
