round,accuracy,loss
0,0.1,721.0163054466248
1,0.1,720.9590821266174
2,0.1,720.8887150287628
3,0.1,720.8177454471588
4,0.1,720.7370085716248
5,0.1,720.6543946266174
6,0.1,720.5644769668579
7,0.0998,720.4549944400787
8,0.0983,720.3315591812134
9,0.0987,720.1985642910004
10,0.0986,720.0492124557495
11,0.1024,719.8690497875214
12,0.1085,719.6626856327057
13,0.1146,719.4134030342102
14,0.1133,719.0696399211884
15,0.1158,718.6552286148071
16,0.1207,718.0855543613434
17,0.1207,717.3588216304779
18,0.1233,716.3829612731934
19,0.1246,715.163446187973
20,0.1348,713.2790853977203
