round,accuracy,loss
0,0.0981,721.2998650074005
1,0.403,505.78842318058014
2,0.4806,448.12482273578644
3,0.5045,434.2690806388855
4,0.5444,404.052835047245
5,0.5733,372.6616379022598
6,0.585,363.946999669075
7,0.6003,355.2098430991173
8,0.6083,349.35886412858963
9,0.6138,343.4710680246353
10,0.6227,335.9607681632042
11,0.6188,339.2141538262367
12,0.6185,342.3732185959816
13,0.6258,336.92263156175613
14,0.6339,332.5714792609215
15,0.6317,336.1027449965477
16,0.6361,339.1308362483978
17,0.6234,344.69573706388474
18,0.6304,340.5939700603485
19,0.635,342.4239581823349
20,0.63,351.35953068733215
