round,accuracy,loss
0,0.1043,721.9428634643555
1,0.1082,721.6822712421417
2,0.114,721.4201188087463
3,0.1236,721.1724252700806
4,0.1287,720.928680896759
5,0.1335,720.6842074394226
6,0.1348,720.4662637710571
7,0.138,720.2388827800751
8,0.1398,720.0274896621704
9,0.1392,719.8208446502686
10,0.1414,719.6165020465851
11,0.1423,719.4085757732391
12,0.1432,719.1792728900909
13,0.1447,718.9434237480164
14,0.1441,718.7020404338837
15,0.1458,718.4363975524902
16,0.1463,718.1589708328247
17,0.146,717.8490784168243
18,0.1483,717.5106329917908
19,0.1544,717.1529400348663
20,0.1584,716.7576875686646
