round,accuracy,loss
0,0.1013,721.116982460022
1,0.3137,623.6984738111496
2,0.3663,533.5905214548111
3,0.4101,505.27288818359375
4,0.432,488.9553282260895
5,0.4854,457.3726325035095
6,0.5009,440.58211278915405
7,0.5019,440.82465505599976
8,0.4945,443.0792189836502
9,0.4975,441.44411516189575
10,0.5194,425.2823694348335
11,0.5187,430.48578321933746
12,0.5228,430.65181094408035
13,0.5145,436.19623494148254
14,0.53,428.18414705991745
15,0.5187,439.15869879722595
16,0.5128,446.34004896879196
17,0.5104,447.90400010347366
18,0.5148,455.55944633483887
19,0.5124,465.1459919810295
20,0.4973,496.3377746939659
