round,accuracy,loss
0,0.1,721.634033203125
1,0.1,721.542204618454
2,0.1,721.4453389644623
3,0.1,721.3440039157867
4,0.0997,721.246150970459
5,0.0997,721.1625733375549
6,0.1,721.0906143188477
7,0.0997,721.0037610530853
8,0.0994,720.9282515048981
9,0.0987,720.8727338314056
10,0.0988,720.8090455532074
11,0.0986,720.7260437011719
12,0.0979,720.6497700214386
13,0.0981,720.5797002315521
14,0.0985,720.5085124969482
15,0.0981,720.4405534267426
16,0.0992,720.3669817447662
17,0.0999,720.2834584712982
18,0.0986,720.1995437145233
19,0.0994,720.1154179573059
20,0.1017,720.0259776115417
