round,accuracy,loss
0,0.1002,721.6500072479248
1,0.1,721.4775133132935
2,0.0999,721.297691822052
3,0.0995,721.1360292434692
4,0.0995,720.9774408340454
5,0.0997,720.8099162578583
6,0.0997,720.645429611206
7,0.0996,720.4763641357422
8,0.099,720.294908285141
9,0.1016,720.0996451377869
10,0.1039,719.8987095355988
11,0.1092,719.6718773841858
12,0.1183,719.4119656085968
13,0.1306,719.124321937561
14,0.1421,718.7730493545532
15,0.1586,718.3854794502258
16,0.1707,717.9571936130524
17,0.1741,717.4648005962372
18,0.1799,716.887526512146
19,0.1847,716.2022984027863
20,0.1875,715.3693687915802
