round,accuracy,loss
0,0.1002,721.3011503219604
1,0.1007,721.1643648147583
2,0.1007,721.0133774280548
3,0.1008,720.8931748867035
4,0.1012,720.771680355072
5,0.1009,720.5942535400391
6,0.1,720.4122459888458
7,0.0991,720.1855289936066
8,0.096,719.9336020946503
9,0.0908,719.6136972904205
10,0.089,719.1988923549652
11,0.0873,718.6989884376526
12,0.0901,718.047934293747
13,0.1115,717.1916148662567
14,0.1386,716.1956512928009
15,0.139,715.2687106132507
16,0.1368,713.401612997055
17,0.1444,707.1761155128479
18,0.1599,698.4366173744202
19,0.1762,690.8882865905762
20,0.1944,685.4525229930878
