round,accuracy,loss
0,0.1132,721.1034052371979
1,0.2051,659.272744178772
2,0.4285,527.5452947616577
3,0.498,447.5959994792938
4,0.5207,420.56190925836563
5,0.546,397.7728742361069
6,0.5622,386.35477632284164
7,0.5585,387.9396823644638
8,0.5719,373.637907743454
9,0.5592,381.25450921058655
10,0.5825,369.0023409128189
11,0.5811,374.1455118060112
12,0.5907,363.9120829105377
13,0.5941,362.9750783443451
14,0.594,367.3938310146332
15,0.5888,374.0171722769737
16,0.5859,376.38080006837845
17,0.5864,374.5864728689194
18,0.5824,386.3422782421112
19,0.5838,387.4084162712097
20,0.5763,396.1500889658928
