round,accuracy,loss
0,0.1015,721.2593283653259
1,0.3012,663.4272816181183
2,0.4602,512.6609034538269
3,0.5089,439.15771412849426
4,0.5379,406.85618275403976
5,0.5559,391.231581389904
6,0.5731,376.7940671443939
7,0.5783,369.06492137908936
8,0.595,360.90095353126526
9,0.5933,363.34662342071533
10,0.6009,356.74422711133957
11,0.596,361.36146998405457
12,0.6,356.04620265960693
13,0.607,356.31860452890396
14,0.6138,354.20078510046005
15,0.6101,359.1497319340706
16,0.6094,368.440289080143
17,0.6038,373.09249675273895
18,0.606,373.81055653095245
19,0.6004,382.62982910871506
20,0.6012,384.10607928037643
