round,accuracy,loss
0,0.1016,721.8869299888611
1,0.4316,487.4547209739685
2,0.4929,443.8898295164108
3,0.5114,431.82293725013733
4,0.5687,386.63626503944397
5,0.5829,369.81644254922867
6,0.6028,357.0529268980026
7,0.588,360.4112306833267
8,0.6139,342.96092706918716
9,0.6097,342.7769677042961
10,0.6196,340.1546951532364
11,0.6203,347.0729284584522
12,0.6253,341.1471535861492
13,0.6142,353.53527987003326
14,0.6354,344.6491986811161
15,0.6343,339.1690575480461
16,0.6289,347.49769073724747
17,0.6225,355.0265131890774
18,0.6327,352.77676698565483
19,0.6205,364.9763248562813
20,0.624,362.51486125588417
