round,accuracy,loss
0,0.1,721.0956163406372
1,0.2763,730.1829599142075
2,0.3446,796.2376507520676
3,0.3616,774.220658659935
4,0.3782,784.0177751779556
5,0.3742,804.3101079463959
6,0.3686,778.9005103111267
7,0.3621,861.1671086549759
8,0.3637,825.2564220428467
9,0.3627,870.9641627073288
10,0.3504,875.9115960597992
11,0.3624,895.3551397323608
12,0.3778,895.7212632894516
13,0.3649,971.6468678712845
14,0.3739,994.16073179245
15,0.3797,1065.0189620256424
16,0.3749,909.4148392677307
17,0.3722,926.5948501825333
18,0.3906,967.6064170598984
19,0.3834,1024.0962328910828
20,0.3709,1049.9367798566818
