round,accuracy,loss
0,0.1,721.7088627815247
1,0.1,721.5690989494324
2,0.1,721.4465703964233
3,0.1,721.3288359642029
4,0.1,721.192330121994
5,0.1,721.0429728031158
6,0.1,720.8921465873718
7,0.1,720.7108056545258
8,0.1001,720.5145628452301
9,0.1001,720.2977359294891
10,0.1004,719.9854001998901
11,0.1021,719.5720129013062
12,0.1151,718.9728014469147
13,0.1312,718.1537525653839
14,0.1326,717.1465373039246
15,0.1513,716.3180553913116
16,0.1548,713.4966702461243
17,0.1759,706.2743427753448
18,0.1759,697.6758074760437
19,0.1768,690.5627942085266
20,0.1873,684.6009777784348
