round,accuracy,loss
0,0.1,721.4137349128723
1,0.416,500.31946885585785
2,0.4833,445.97972881793976
3,0.5396,402.8123234510422
4,0.5611,387.08221143484116
5,0.5897,366.1177805662155
6,0.6037,359.0206418633461
7,0.6267,340.1808362007141
8,0.6259,340.4495813846588
9,0.6366,329.14323541522026
10,0.6407,328.4243448972702
11,0.6438,329.30824014544487
12,0.6352,338.9028861820698
13,0.6297,337.55575025081635
14,0.6336,339.31687635183334
15,0.6359,333.42034977674484
16,0.6335,349.2245106101036
17,0.6358,350.150568574667
18,0.6374,355.250028192997
19,0.6353,351.9118884205818
20,0.6319,366.822687625885
