round,accuracy,loss
0,0.1,721.5087835788727
1,0.2491,731.2501783370972
2,0.3336,769.2964507341385
3,0.3425,778.3386112451553
4,0.383,814.9365937709808
5,0.3596,826.8296092748642
6,0.365,797.8902218341827
7,0.3486,801.5064346790314
8,0.3716,811.1275699138641
9,0.3926,921.5243306159973
10,0.3805,938.8227587938309
11,0.3934,968.3191204071045
12,0.3912,995.7825317382812
13,0.3871,997.3197206258774
14,0.3996,876.4425920248032
15,0.3978,1098.807524561882
16,0.4015,1036.1298302412033
17,0.3987,1078.4091840982437
18,0.401,1092.7620270252228
19,0.4003,1147.6441583633423
20,0.4014,1091.0823460817337
