round,accuracy,loss
0,0.0941,721.4267690181732
1,0.4462,479.2148164510727
2,0.4847,440.27921760082245
3,0.5368,404.28921699523926
4,0.545,397.30292493104935
5,0.5588,388.816852748394
6,0.596,355.84048986434937
7,0.5974,356.1267080307007
8,0.6175,342.19148218631744
9,0.6025,352.064045548439
10,0.63,335.5017588734627
11,0.6291,332.0423251390457
12,0.6233,339.2414058446884
13,0.6246,338.06244534254074
14,0.6335,335.43408489227295
15,0.635,336.59699845314026
16,0.6187,348.4916229248047
17,0.622,347.2682953476906
18,0.6297,353.66957545280457
19,0.6242,346.7350073456764
20,0.6301,356.1299401521683
