round,accuracy,loss
0,0.1,721.3769910335541
1,0.1,721.2875068187714
2,0.1,721.2087333202362
3,0.0999,721.1183261871338
4,0.1001,721.0496747493744
5,0.1005,720.9591212272644
6,0.1016,720.8679926395416
7,0.1008,720.7752070426941
8,0.1008,720.6680662631989
9,0.1009,720.566296339035
10,0.101,720.470178604126
11,0.1028,720.3572614192963
12,0.1034,720.2332904338837
13,0.1038,720.0989925861359
14,0.1043,719.9597089290619
15,0.1052,719.8081650733948
16,0.1059,719.620602607727
17,0.1083,719.400582075119
18,0.1163,719.0898032188416
19,0.1286,718.6966652870178
20,0.1397,718.1832365989685
