round,accuracy,loss
0,0.1053,720.9877645969391
1,0.1069,720.876177072525
2,0.1098,720.7319762706757
3,0.1147,720.5831787586212
4,0.1241,720.4132010936737
5,0.131,720.2149527072906
6,0.1306,720.0318274497986
7,0.1307,719.7782678604126
8,0.1297,719.4831612110138
9,0.1355,719.154322385788
10,0.1454,718.7017643451691
11,0.1483,718.1180963516235
12,0.1493,717.3544092178345
13,0.1516,716.3430080413818
14,0.1514,715.2095537185669
15,0.1541,714.4511001110077
16,0.1474,713.2864797115326
17,0.1544,705.3611361980438
18,0.1767,693.035754442215
19,0.1933,682.0588722229004
20,0.2164,673.8691320419312
