round,accuracy,loss
0,0.1019,721.3806965351105
1,0.251,717.317859172821
2,0.3286,752.8506321907043
3,0.3671,777.1033200025558
4,0.3753,780.6856344938278
5,0.3877,808.4722136259079
6,0.3739,803.7082899808884
7,0.3792,797.877193570137
8,0.378,827.7954083681107
9,0.375,815.7634649276733
10,0.3969,873.3388547897339
11,0.3834,917.7577215433121
12,0.381,859.9152293205261
13,0.3927,948.4785379171371
14,0.3926,921.3584494590759
15,0.4014,963.6019139289856
16,0.3944,885.541015625
17,0.3918,1036.1048953533173
18,0.3937,910.4008728265762
19,0.3925,1029.159739971161
20,0.3906,1000.6636290550232
