round,accuracy,loss
0,0.1048,720.8149378299713
1,0.2529,625.8504390716553
2,0.3924,537.327418923378
3,0.453,476.2828217744827
4,0.4707,462.3895035982132
5,0.4909,443.50292587280273
6,0.4951,450.92741107940674
7,0.5045,435.23955750465393
8,0.5297,420.8690945506096
9,0.5383,414.6191831231117
10,0.5245,428.27826368808746
11,0.5342,421.17740285396576
12,0.5293,424.10694295167923
13,0.5268,425.6499987244606
14,0.5277,434.8439164161682
15,0.5272,451.6865639090538
16,0.5361,424.2403082251549
17,0.5267,443.24964475631714
18,0.526,446.5804998278618
19,0.5272,453.6406975388527
20,0.5304,469.5715772509575
