round,accuracy,loss
0,0.0961,721.1397752761841
1,0.0959,721.0032768249512
2,0.0944,720.8522775173187
3,0.0936,720.6921436786652
4,0.0961,720.5201842784882
5,0.0994,720.3459906578064
6,0.1053,720.1310331821442
7,0.1145,719.9008824825287
8,0.1192,719.6189351081848
9,0.1175,719.2934095859528
10,0.1163,718.8552203178406
11,0.1124,718.3090908527374
12,0.1076,717.5748946666718
13,0.1044,716.5349838733673
14,0.1042,715.0369675159454
15,0.1052,712.8578109741211
16,0.109,709.9295561313629
17,0.1235,706.4789552688599
18,0.1581,702.6034533977509
19,0.1664,698.5589354038239
20,0.1852,694.8326952457428
